Row,mkpsq,mppisq,cos_theta,phi_p,chi
0,3.9871754,1.6331379,0.8522608,1.1408278,-1.577789
1,3.0852733,2.5287520,-0.022425,-1.311920,-2.327567
2,3.6482673,1.3608114,-0.468466,-0.324229,1.1748689
3,3.4735045,2.0998498,0.4739720,-1.858404,-2.790290
4,3.8940633,1.5720000,0.6339068,1.3055526,1.4390872
5,3.5491514,1.5469969,0.8980934,0.7687820,-0.882590
6,4.0168583,1.7226692,0.8145084,-2.279457,2.0185698
7,3.9178559,1.6096667,0.0108589,-2.895557,-0.429391
8,4.4925456,1.4298654,0.6354653,0.9347540,1.8484799
9,4.4111831,1.5382677,0.7732316,1.5406188,0.2087873
10,2.7888100,2.8978240,0.3513027,2.1574847,-0.976989
11,4.4164344,1.4619882,-0.997698,0.7395035,-1.239087
12,4.1813116,1.5471003,0.4063779,-2.596956,-2.068918
13,3.3351066,1.5345022,0.7033104,-0.907601,-2.023621
14,4.1074465,1.4152465,0.1482857,2.1275035,2.5039432
15,3.6661014,1.5364472,-0.538478,-2.762471,0.7631861
16,3.2805406,2.2443600,-0.262341,0.3193292,0.7889003
17,4.3066682,1.2861909,0.8157405,-1.163718,-0.024810
18,2.7617160,2.8208762,-0.996774,2.3866114,3.0299918
19,3.3014699,2.2467695,-0.881846,2.2195997,1.3693030
20,3.2651946,1.7947112,-0.175107,1.4297405,-2.787457
21,3.7299443,1.4320730,-0.352391,-2.048923,1.5059688
22,2.3210413,3.1376568,-0.713779,-0.823199,0.2696081
23,2.9755343,1.8171153,-0.336478,0.2634123,0.6957812
24,4.4547322,1.3001003,-0.313345,-2.446515,2.8242275
25,2.4231101,3.1229055,-0.662761,-0.987675,-1.882881
26,4.4550310,1.4189466,-0.390994,2.3227837,-0.195459
27,3.6049378,1.4401845,-0.389198,-0.178376,2.1566014
28,4.1087189,1.3955009,-0.711735,-0.230959,0.1130890
29,2.7633017,2.7944706,0.9163470,-1.296638,0.8172159
30,4.2567066,1.2691359,0.0348117,-2.736209,-1.787254
31,2.6099611,3.0111831,0.2033898,-2.582234,-2.556758
32,2.9739918,1.8667927,0.8504992,1.2322707,2.5025020
33,2.4698171,2.6772925,0.6574051,2.4273454,1.1316891
34,2.5011638,3.0543683,0.1566296,2.2824234,1.0039462
35,2.2722797,2.6162965,0.8023693,2.1801841,-2.317895
36,2.5134119,2.1789359,0.7525123,0.4281853,3.0066022
37,4.0569073,1.7386911,-0.354917,-1.721930,-1.713769
38,2.2877038,3.1646231,0.1095147,-0.753481,-0.255943
39,2.6630048,2.87372,-0.450468,-2.179189,-1.030966
40,3.4405526,2.1727179,-0.896603,1.8503945,0.8879302
41,3.3782310,2.0852118,-0.956653,2.8301283,-0.039969
42,2.6146912,2.7653109,0.1353601,1.8897735,-2.241212
43,3.6587330,1.8451293,0.7361885,-0.432864,-2.278607
44,3.4793350,1.4157561,0.0643626,1.5683271,2.8380213
45,2.8752747,2.9142614,-0.008840,2.9163987,0.3699482
46,3.8806991,1.4742961,-0.358412,-2.868079,-1.511213
47,3.1147870,2.4512693,-0.628585,-2.901354,3.1018144
48,3.6540205,1.4233538,0.0732518,1.5296232,-1.755760
49,2.5529226,2.9703097,-0.158204,2.8010946,-0.154863
50,3.4706847,1.4575603,-0.719019,1.5916899,1.6618132
51,2.2548957,3.1909899,-0.359239,2.9725753,-2.730239
52,3.7026114,1.8773376,0.2359737,1.3739016,-1.749280
53,3.3002836,1.4965192,-0.208733,-1.807072,-3.085016
54,4.3848728,1.2956724,0.7840889,-0.251922,-0.175805
55,3.8466823,1.7175119,-0.233542,-0.989601,1.7049697
56,4.2829664,1.3577287,0.5128324,1.5759793,-0.681431
57,2.3710350,2.2657839,-0.128958,-2.525850,2.0016036
58,3.5600695,1.8733513,0.7984543,0.6722991,-1.731408
59,3.392808,1.4629411,0.8705663,1.9855089,-2.622252
60,4.1413962,1.4628787,-0.205590,2.2533322,-0.315148
61,2.2198849,2.4876799,0.2328300,-1.252051,-2.048363
