,A2,B2,C2,D2,A12,A22,B12,B22,ReA1A2,ReB1B2,ReAD,ReBC,ReA1C,ReA2C,ReB1D,ReB2D,ReA1B,ReA2B,ReB1A,ReB2A
A2,0.349238,-0.0245847,-0.375815,0.00941053,-0.00680265,0.00189688,0.000698487,-0.00139858,0.000808027,-0.000559625,0.120528,-0.0111636,-0.0824221,0.0672804,-0.00912924,0.0193758,-0.000931456,0.000889488,-0.00167535,0.0221045
B2,-0.0245847,0.00289894,0.027674,0.00145394,0.00252834,-0.000197512,-0.000210953,-0.00142447,-0.000186639,-0.000641224,-0.0111654,0.00361406,0.0123796,-0.0083759,0.00114187,-0.00364636,2.85281e-05,6.1719e-06,0.000111785,-0.00430524
C2,-0.375815,0.027674,12.224,-0.465747,0.00569869,0.00609135,-0.000736201,-0.0602562,0.00208362,-0.00756977,-0.453393,0.0131914,-0.673995,0.557475,-0.0299799,0.0459493,0.0285034,-0.00455529,-0.00041512,-0.149816
D2,0.00941053,0.00145394,-0.465747,0.0227876,0.00346744,-0.000496073,-0.000253105,0.000638994,-0.000362745,-0.000763829,0.00935368,0.00549755,0.0432923,-0.0330466,0.00263257,-0.00690909,-0.00113521,0.000172509,0.00017906,0.00121561
A12,-0.00680265,0.00252834,0.00569869,0.00346744,0.00476296,7.42331e-05,-0.000411291,-0.00533021,-0.000220319,-0.00180794,-0.00639945,0.00368486,0.00777981,-0.00160077,0.000552304,-0.00440405,8.70045e-05,0.000387236,-0.00032009,-0.00897747
A22,0.00189688,-0.000197512,0.00609135,-0.000496073,7.42331e-05,0.000102288,-1.36112e-05,-0.000625989,2.52421e-05,-0.000167839,0.000202623,-0.000910444,-0.00327344,0.00297924,-0.000274838,0.000387148,6.73929e-05,5.00078e-05,-9.73688e-05,-0.000514356
B12,0.000698487,-0.000210953,-0.000736201,-0.000253105,-0.000411291,-1.36112e-05,3.66734e-05,0.000519968,1.63247e-05,0.000163067,0.00051019,-0.000266643,-0.000436445,-8.56047e-05,-2.71498e-05,0.000352327,-1.08071e-05,-4.13982e-05,3.91219e-05,0.000842973
B22,-0.00139858,-0.00142447,-0.0602562,0.000638994,-0.00533021,-0.000625989,0.000519968,0.0110504,3.00453e-05,0.00249297,0.00442177,0.00247168,0.0169164,-0.0210286,0.00157063,0.00140926,-0.000582471,-0.000872202,0.00102725,0.015028
ReA1A2,0.000808027,-0.000186639,0.00208362,-0.000362745,-0.000220319,2.52421e-05,1.63247e-05,3.00453e-05,2.02029e-05,5.20068e-05,0.0004166,-0.000478212,-0.00153166,0.001116,-0.000124477,0.000362134,1.84696e-05,5.72891e-07,-1.67354e-05,0.000222456
ReB1B2,-0.000559625,-0.000641224,-0.00756977,-0.000763829,-0.00180794,-0.000167839,0.000163067,0.00249297,5.20068e-05,0.00091599,0.0021739,-0.000199394,0.00081694,-0.00270379,0.000100293,0.00116909,-0.000107955,-0.000180491,0.000224784,0.00353672
ReAD,0.120528,-0.0111654,-0.453393,0.00935368,-0.00639945,0.000202623,0.00051019,0.00442177,0.0004166,0.0021739,0.213463,0.0843965,0.000379992,-0.00406679,-0.000980545,0.00581471,-0.00679631,0.00338188,-0.00427806,0.0256735
ReBC,-0.0111636,0.00361406,0.0131914,0.00549755,0.00368486,-0.000910444,-0.000266643,0.00247168,-0.000478212,-0.000199394,0.0843965,0.0878884,0.0779875,-0.0599011,0.00753042,-0.0177748,-0.00362421,0.000893419,-0.000187403,0.00688717
ReA1C,-0.0824221,0.0123796,-0.673995,0.0432923,0.00777981,-0.00327344,-0.000436445,0.0169164,-0.00153166,0.00081694,0.000379992,0.0779875,0.302412,-0.232584,0.024034,-0.0561891,-0.00516496,-0.00101818,0.00421941,0.0193869
ReA2C,0.0672804,-0.0083759,0.557475,-0.0330466,-0.00160077,0.00297924,-8.56047e-05,-0.0210286,0.001116,-0.00270379,-0.00406679,-0.0599011,-0.232584,0.188369,-0.0191602,0.0397592,0.00418346,0.00161425,-0.00389824,-0.0270426
ReB1D,-0.00912924,0.00114187,-0.0299799,0.00263257,0.000552304,-0.000274838,-2.71498e-05,0.00157063,-0.000124477,0.000100293,-0.000980545,0.00753042,0.024034,-0.0191602,0.00218729,-0.00485455,-0.000303381,-0.000194649,0.00041751,0.00181383
ReB2D,0.0193758,-0.00364636,0.0459493,-0.00690909,-0.00440405,0.000387148,0.000352327,0.00140926,0.000362134,0.00116909,0.00581471,-0.0177748,-0.0561891,0.0397592,-0.00485455,0.0139641,0.000510134,3.27038e-06,-0.000576769,0.00343883
ReA1B,-0.000931456,2.85281e-05,0.0285034,-0.00113521,8.70045e-05,6.73929e-05,-1.08071e-05,-0.000582471,1.84696e-05,-0.000107955,-0.00679631,-0.00362421,-0.00516496,0.00418346,-0.000303381,0.000510134,0.000498674,-0.000182302,0.000203739,-0.0017006
ReA2B,0.000889488,6.1719e-06,-0.00455529,0.000172509,0.000387236,5.00078e-05,-4.13982e-05,-0.000872202,5.72891e-07,-0.000180491,0.00338188,0.000893419,-0.00101818,0.00161425,-0.000194649,3.27038e-06,-0.000182302,0.000243389,-0.000281104,-0.00109547
ReB1A,-0.00167535,0.000111785,-0.00041512,0.00017906,-0.00032009,-9.73688e-05,3.91219e-05,0.00102725,-1.67354e-05,0.000224784,-0.00427806,-0.000187403,0.00421941,-0.00389824,0.00041751,-0.000576769,0.000203739,-0.000281104,0.00051696,0.000536173
ReB2A,0.0221045,-0.00430524,-0.149816,0.00121561,-0.00897747,-0.000514356,0.000842973,0.015028,0.000222456,0.00353672,0.0256735,0.00688717,0.0193869,-0.0270426,0.00181383,0.00343883,-0.0017006,-0.00109547,0.000536173,0.0328577
